Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6,Pixel_7,Pixel_8,Pixel_9,Pixel_10,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra,iPhone_12_Pro_Max,iPhone_13_Pro_Max,iPhone_14_Pro_Max,iPhone_15_Pro_Max,iPhone_16_Pro_Max,iPhone_17_Pro_Max,iPhone_12,iPhone_13,iPhone_14,iPhone_15,iPhone_16,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Pixel_6_Pro,Pixel_7_Pro,Pixel_8_Pro,Pixel_9_Pro,Pixel_9_Pro_XL,Pixel_10_Pro,Pixel_10_Pro_XL
1,Google Pixel 6 5G UW 256GB G9S9B Verizon/Unlocked Smartphone - Excellent,$195.49,2025-07-23,https://www.ebay.com/itm/267327711422,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,256 GB,Excellent,False,Pixel 6,True,,,,,,,,,2025,July,195.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 128GB GB7N6 CDMA/GSM Unlocked Smartphone -Excellent,$161.49,2025-10-18,https://www.ebay.com/itm/267187173848,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,128 GB,Excellent,False,Pixel 6,True,,,,,,,,,2025,October,161.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Unlocked Google Pixel 6 GA02910-US 6.4"" 128GB 50MP WiFi NFC GPS 5G Sorta Seafoam",$129.99,2025-10-17,https://www.ebay.com/itm/197701916743,https://i.ebayimg.com/images/g/eO4AAOSwck9hyhrR/s-l500.webp,128 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,October,129.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 5G GB7N6 Unlocked AT&T T-Mobile 128GB 512GB Very Good Refurbished,$135.99,2025-10-17,https://www.ebay.com/itm/186382972121,https://i.ebayimg.com/images/g/9UwAAOSwRVBizcuX/s-l500.webp,128 GB,Very Good,False,Pixel 6,True,,,,,,,,,2025,October,135.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 5G GB7N6 Unlocked AT&T T-Mobile 128GB 512GB Good Refurbished,$126.99,2025-10-16,https://www.ebay.com/itm/204733253931,https://i.ebayimg.com/images/g/9UwAAOSwRVBizcuX/s-l500.webp,128 GB,Good,False,Pixel 6,True,,,,,,,,,2025,October,126.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 5G UW 128GB G9S9B Verizon/Unlocked Smartphone -Good,$153.60,2025-10-16,https://www.ebay.com/itm/257056803345,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,128 GB,Good,False,Pixel 6,True,,,,,,,,,2025,October,153.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 6 128GB Unlocked GA02900-US 6.4"" 50MP NFC GPS 5G LTE Stormy Black",$123.99,2025-10-10,https://www.ebay.com/itm/197701913972,https://i.ebayimg.com/images/g/5~0AAOSwIchhy1Rk/s-l500.webp,128 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,October,123.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 5G GB7N6 Unlocked AT&T T-Mobile 128GB 512GB Excellent Refurbished,$178.99,2025-10-09,https://www.ebay.com/itm/185767676304,https://i.ebayimg.com/images/g/9UwAAOSwRVBizcuX/s-l500.webp,128 GB,Excellent,False,Pixel 6,True,,,,,,,,,2025,October,178.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Google Pixel 6 128GB Unlocked GA02900-US 6.4"" 50MP NFC GPS 5G LTE Stormy Black",$139.99,2025-10-04,https://www.ebay.com/itm/205205197265,https://i.ebayimg.com/images/g/5~0AAOSwIchhy1Rk/s-l500.webp,128 GB,Unknown,False,Pixel 6,True,,,,,,,,,2025,October,139.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 - 128GB - Stormy Black (Unlocked) - Good Condition,$139.99,2025-10-04,https://www.ebay.com/itm/306514857340,https://i.ebayimg.com/images/g/VNQAAOSwEKxnl1Vo/s-l500.webp,128 GB,Good,False,Pixel 6,True,,,,,,,,,2025,October,139.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google Pixel 6 128GB GB7N6 CDMA/GSM Unlocked Smartphone - Very Good,$166.74,2025-10-03,https://www.ebay.com/itm/256886860132,https://i.ebayimg.com/images/g/9FQAAOSwxOBicD9v/s-l500.webp,128 GB,Very Good,False,Pixel 6,True,,,,,,,,,2025,October,166.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
