Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_12_Pro,iPhone_13_Pro,iPhone_14_Pro,iPhone_15_Pro,iPhone_16_Pro,iPhone_17_Pro
1,Apple iPhone 12 Pro 256GB Unlocked - Good,$289.99,2025-10-22,https://www.ebay.com/itm/256426051256,https://i.ebayimg.com/images/g/KtAAAeSwoApoPGU4/s-l500.webp,256 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB Unlocked - Excellent,$295.95,2025-10-22,https://www.ebay.com/itm/403448551891,https://i.ebayimg.com/images/g/U4MAAOSwS99hCDnD/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$261.95,2025-10-22,https://www.ebay.com/itm/304222884177,https://i.ebayimg.com/images/g/zOYAAOSwfqplDbwh/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$279.95,2025-10-22,https://www.ebay.com/itm/304104247802,https://i.ebayimg.com/images/g/TuoAAOSwGvplDbt8/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$275.95,2025-10-22,https://www.ebay.com/itm/294304467850,https://i.ebayimg.com/images/g/Fn4AAOSwJyxlDbtk/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB - Fully Unlocked - VERY GOOD Condition,$267.99,2025-10-22,https://www.ebay.com/itm/325928712833,https://i.ebayimg.com/images/g/8jAAAOSwtPxnW5F4/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB Unlocked - Very Good,$281.95,2025-10-22,https://www.ebay.com/itm/363712923708,https://i.ebayimg.com/images/g/U4MAAOSwS99hCDnD/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB Unlocked - Excellent,$276.95,2025-10-22,https://www.ebay.com/itm/384308530199,https://i.ebayimg.com/images/g/U4MAAOSwS99hCDnD/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$303.95,2025-10-21,https://www.ebay.com/itm/304194743951,https://i.ebayimg.com/images/g/gZEAAOSwOk1lDbvQ/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Graphite 128GB Very Good - Refurbished  - Unlocked,$268.99,2025-10-21,https://www.ebay.com/itm/127187184003,https://i.ebayimg.com/images/g/tx0AAeSwd5No-T81/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Blue 128GB Good - Refurbished  - Unlocked,$248.99,2025-10-21,https://www.ebay.com/itm/127407282951,https://i.ebayimg.com/images/g/y70AAeSwTEpo9~W~/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB 256GB 512GB Unlocked Smartphone - All Colors - Good,$274.99,2025-10-21,https://www.ebay.com/itm/156815506333,https://i.ebayimg.com/images/g/ojAAAOSw5eNnyIbk/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Unlocked (Any Carrier) 128GB 256GB 512GB Very Good,$293.99,2025-10-21,https://www.ebay.com/itm/204651230649,https://i.ebayimg.com/images/g/v~QAAOSwR7VhKb-c/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Graphite 128GB Good - Refurbished  - Unlocked,$248.99,2025-10-20,https://www.ebay.com/itm/127359573970,https://i.ebayimg.com/images/g/OfEAAeSw23xo9u1Z/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
1,"Apple iPhone 12 Pro 128GB 6.1"", Pacific Blue",$294.99,2025-10-20,https://www.ebay.com/itm/365881945024,https://i.ebayimg.com/images/g/NicAAeSw4zBo1EPU/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB - Fully Unlocked - VERY GOOD Condition,$293.99,2025-10-20,https://www.ebay.com/itm/326522312272,https://i.ebayimg.com/images/g/8jAAAOSwtPxnW5F4/s-l500.webp,256 GB,Unknown,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB Unlocked Very Good Condition - All Colors,$289.99,2025-10-20,https://www.ebay.com/itm/276217815521,https://i.ebayimg.com/images/g/epYAAOSw67xlczAr/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB Unlocked - Very Good,$309.99,2025-10-19,https://www.ebay.com/itm/255757843532,https://i.ebayimg.com/images/g/NtEAAeSwZS1oO6gr/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Unlocked (A2341) - Excellent Condition,$329.99,2025-10-18,https://www.ebay.com/itm/154813213931,https://i.ebayimg.com/images/g/jrEAAOSwOytmu9E1/s-l500.webp,Unknown,Excellent,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro A2341 (Fully Unlocked) 256GB Pacific Blue (Excellent),$329.99,2025-10-18,https://www.ebay.com/itm/286881751304,https://i.ebayimg.com/images/g/gAsAAeSwR05o8YBO/s-l500.webp,256 GB,Excellent,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 256GB -  VERIZON ONLY - GOOD,$249.85,2025-04-06,https://www.ebay.com/itm/187055148614,https://i.ebayimg.com/images/g/QZ4AAOSwdzJm4wN4/s-l500.webp,256 GB,Unknown,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB Factory Unlocked Pacific Blue MGK43LL/A iOS Smarphone,$299.00,2025-10-17,https://www.ebay.com/itm/306520141841,https://i.ebayimg.com/images/g/M5AAAeSwjF1o2Dtn/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 512GB Unlocked Good Condition - All Colors,$304.99,2025-10-17,https://www.ebay.com/itm/285598069257,https://i.ebayimg.com/images/g/dhwAAOSwk91lczEA/s-l500.webp,512 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB GSM/CDMA Fully Unlocked Graphite - Good,$272.69,2025-10-16,https://www.ebay.com/itm/256720998396,https://i.ebayimg.com/images/g/0~wAAOSwUcVnO5nc/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 512GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$288.95,2025-10-16,https://www.ebay.com/itm/294356589713,https://i.ebayimg.com/images/g/0YMAAOSwbMplDbuI/s-l500.webp,512 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Blue 128GB Very Good - Refurbished  - Unlocked,$268.99,2025-10-16,https://www.ebay.com/itm/127388706753,https://i.ebayimg.com/images/g/A3AAAeSwmf5o-VNP/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro Graphite 256GB Very Good - Refurbished  - Unlocked,$278.99,2025-10-15,https://www.ebay.com/itm/127187182803,https://i.ebayimg.com/images/g/LUQAAeSwAJVo-Bp7/s-l500.webp,256 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro 128GB Unlocked Good Condition - All Colors,$279.99,2025-10-15,https://www.ebay.com/itm/296097584844,https://i.ebayimg.com/images/g/WVwAAOSwfnFlczBW/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro - 128GB 256GB 512GB - All Colors - Very Good Condition,$325.00,2025-10-15,https://www.ebay.com/itm/285390732299,https://i.ebayimg.com/images/g/rboAAOSwuQNiaccD/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
1,Apple iPhone 12 Pro - 128GB 256GB 512GB - All Colors - Good Condition,$318.00,2025-10-15,https://www.ebay.com/itm/275298426488,https://i.ebayimg.com/images/g/rboAAOSwuQNiaccD/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro Graphite 128GB Excellent - Refurbished  - Unlocked,$288.99,2025-10-14,https://www.ebay.com/itm/127430179711,https://i.ebayimg.com/images/g/CuoAAeSwCpNo-XUh/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128 GB - Gold - Factory Unlocked (CDMA + GSM) - Good,$249.85,2025-03-29,https://www.ebay.com/itm/186684498068,https://i.ebayimg.com/images/g/kXoAAOSw69Fm5IOI/s-l500.webp,128 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 128 GB - Blue - Factory Unlocked (CDMA + GSM) Very Good,$269.85,2024-12-16,https://www.ebay.com/itm/176574480013,https://i.ebayimg.com/images/g/wsEAAOSwcGFm5H-5/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro Smartphone A2341 128GB Unlocked Excellent,$340.00,2025-10-13,https://www.ebay.com/itm/226582278487,https://i.ebayimg.com/images/g/-0oAAeSweJlnooq8/s-l500.webp,128 GB,Excellent,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 128GB  A2341 (Unlocked) All Colors ~ Very Good Condition!,$278.99,2025-10-13,https://www.ebay.com/itm/226896597359,https://i.ebayimg.com/images/g/Dw8AAeSwuQBoi6Wv/s-l500.webp,128 GB,Very Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 512GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$284.95,2025-10-13,https://www.ebay.com/itm/304185295612,https://i.ebayimg.com/images/g/6UIAAOSwgfJlDbug/s-l500.webp,512 GB,Good,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 512GB - Gold - Factory Unlocked - USED,$269.85,2025-03-30,https://www.ebay.com/itm/176572670067,https://i.ebayimg.com/images/g/h9AAAOSwxixm4wSY/s-l500.webp,512 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro - 128GB Pacific Blue Factory Unlocked - GOOD Condition,$259.99,2025-03-30,https://www.ebay.com/itm/176841930253,https://i.ebayimg.com/images/g/F2oAAeSwscJnrQQf/s-l500.webp,128 GB,Unknown,False,iPhone 12 Pro,True,,,,,
2,Apple iPhone 12 Pro 512GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$317.95,2025-10-12,https://www.ebay.com/itm/304221769488,https://i.ebayimg.com/images/g/vM4AAOSwgjZlDbwF/s-l500.webp,512 GB,Excellent,False,iPhone 12 Pro,True,,,,,
