Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S22,Galaxy_S23,Galaxy_S24,Galaxy_S25,year,Month,Price_num,Galaxy_S22Plus,Galaxy_S23Plus,Galaxy_S24Plus,Galaxy_S25Plus,Galaxy_S22_Ultra,Galaxy_S23_Ultra,Galaxy_S24_Ultra,Galaxy_S25_Ultra
1,Samsung Galaxy S22 S901 128GB Unlocked - Excellent,$168.95,2025-10-29,https://www.ebay.com/itm/364498823740,https://i.ebayimg.com/images/g/IzAAAOSwNXFlFYby/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,168.95,,,,,,,,
1,Samsung Galaxy S22 S901 128GB Unlocked - Very Good,$159.95,2025-10-29,https://www.ebay.com/itm/404513869457,https://i.ebayimg.com/images/g/u-AAAOSw46tlFYbZ/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,159.95,,,,,,,,
1,Samsung Galaxy S22 5G S901U Unlocked (Any Carrier) SmartPhone Very Good,$158.99,2025-10-28,https://www.ebay.com/itm/225935482577,https://i.ebayimg.com/images/g/Xp4AAOSwJ4ZjBY2-/s-l500.webp,Unknown,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,158.99,,,,,,,,
1,Samsung Galaxy S22 128GB 256GB S901U Unlocked Smartphone - Good,$144.99,2025-10-28,https://www.ebay.com/itm/157315789642,https://i.ebayimg.com/images/g/xiQAAeSwdaVo3UHP/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,144.99,,,,,,,,
1,Samsung Galaxy S22 SM-S901U Unlocked 128GB Phantom Black Good,$147.99,2025-10-28,https://www.ebay.com/itm/196518586989,https://i.ebayimg.com/images/g/urQAAOSw2QFmn95~/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,147.99,,,,,,,,
1,Samsung Galaxy S22 128GB S901U Unlocked - Excellent,$177.99,2025-10-28,https://www.ebay.com/itm/255750739980,https://i.ebayimg.com/images/g/eHQAAeSwa6VojEf9/s-l500.webp,128 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,177.99,,,,,,,,
1,Samsung Galaxy S22 S901 256GB Unlocked - Excellent,$194.95,2025-10-28,https://www.ebay.com/itm/365014088752,https://i.ebayimg.com/images/g/IzAAAOSwNXFlFYby/s-l500.webp,256 GB,Excellent,False,Galaxy S22,True,,,,2025.0,10.0,194.95,,,,,,,,
1,Samsung Galaxy S22 SM-S901U1 Unlocked 128GB Phantom Black Good,$145.99,2025-10-28,https://www.ebay.com/itm/196518614327,https://i.ebayimg.com/images/g/~LQAAOSwMaZmn-Tn/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,145.99,,,,,,,,
1,Samsung Galaxy S22 128GB S901U Unlocked - Very Good,$153.99,2025-10-28,https://www.ebay.com/itm/255750740005,https://i.ebayimg.com/images/g/f2MAAeSwWopojEhl/s-l500.webp,128 GB,Very Good,False,Galaxy S22,True,,,,2025.0,10.0,153.99,,,,,,,,
1,Samsung Galaxy S22 128GB S901U Unlocked - Good,$143.99,2025-10-28,https://www.ebay.com/itm/255865325274,https://i.ebayimg.com/images/g/~50AAeSw3BZojEkt/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,143.99,,,,,,,,
1,Samsung Galaxy S22 SM-S901U Verizon Unlocked 128GB Pink Gold Good,$214.99,2025-10-28,https://www.ebay.com/itm/186605202696,https://i.ebayimg.com/images/g/dL8AAOSwgGZmqwlX/s-l500.webp,128 GB,Good,False,Galaxy S22,True,,,,2025.0,10.0,214.99,,,,,,,,
