Page,Title,Price,Sold Date,Link,Image Link
1,Google Pixel 9 Pro XL 256GB Unlocked - Excellent,$646.95,"Sold  Oct 22, 2025",https://www.ebay.com/itm/389018583024,https://i.ebayimg.com/images/g/2~4AAOSwq91oOIS-/s-l500.webp
1,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Good,$259.99,"Sold  Oct 22, 2025",https://www.ebay.com/itm/176566107239,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp
1,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - PRISTINE,$249.99,"Sold  Oct 22, 2025",https://www.ebay.com/itm/176571396395,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp
1,Google Pixel 9 Pro 128GB Factory Unlocked - Good,$494.99,"Sold  Oct 22, 2025",https://www.ebay.com/itm/226977900964,https://i.ebayimg.com/images/g/6fgAAeSwXJVoydZ6/s-l500.webp
1,Google Pixel 9 Pro 128GB Porcelain Unlocked Very Good Condition,$529.99,"Sold  Oct 22, 2025",https://www.ebay.com/itm/277325702588,https://i.ebayimg.com/images/g/XjwAAeSwt2to99JB/s-l500.webp
1,Google Pixel 9 Pro XL - Unlocked - Hazel - 128GB - Good,$529.00,"Sold  Oct 22, 2025",https://www.ebay.com/itm/286681760523,https://i.ebayimg.com/images/g/rXoAAOSwtipnfCI8/s-l500.webp
1,Google Pixel 9 Pro 512GB Hazel Unlocked Excellent Condition,$809.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/286714834226,https://i.ebayimg.com/images/g/oT0AAeSweONo-SHT/s-l500.webp
1,"Google Pixel 9 Pro 5G (128GB, 16GB) 6.3"" Fully Unlocked (US Model) GR83Y",$595.40,"Sold  Sep 2, 2025",https://www.ebay.com/itm/146349773379,https://i.ebayimg.com/images/g/NL8AAeSwyGho7V52/s-l500.webp
1,Google Pixel 9 Pro 128GB Factory Unlocked - Excellent,$563.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/226977896958,https://i.ebayimg.com/images/g/6fgAAeSwXJVoydZ6/s-l500.webp
1,Google Pixel 9 Pro 128GB Hazel Unlocked Excellent Condition,$559.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/276977787221,https://i.ebayimg.com/images/g/0FIAAeSwpFhn4tKM/s-l500.webp
1,Google Pixel 9 Pro XL 128GB - Factory Unlocked - Hazel - Good + More,$549.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/326819364719,https://i.ebayimg.com/images/g/9fAAAeSw-Xto796J/s-l500.webp
1,Google Pixel 9 Pro XL - GGX8B - 128GB Obsidian *UNLOCKED* Very Good Refurbished,$552.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/146710396052,https://i.ebayimg.com/images/g/PC8AAOSwYqFn9rTe/s-l500.webp
1,Google Pixel 9 Pro Fold 256GB Obsidian Unlocked Excellent Condition,$879.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/276700336130,https://i.ebayimg.com/images/g/0vQAAOSwu11nGm01/s-l500.webp
1,Google Pixel 9 Pro Fold - Unlocked - Obsidian - 256GB - Very Good,$794.00,"Sold  Oct 21, 2025",https://www.ebay.com/itm/286270574325,https://i.ebayimg.com/images/g/29oAAOSwo4Fnh9N~/s-l500.webp
1,Google Pixel 9 Pro 128GB - Obsidian - (Carrier Unlocked),$574.98,"Sold  Oct 21, 2025",https://www.ebay.com/itm/156794836638,https://i.ebayimg.com/images/g/TGIAAOSwGidnN6mR/s-l500.webp
1,Google Pixel 9 Pro XL 256GB Obsidian Unlocked Very Good Condition,$609.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/286132686857,https://i.ebayimg.com/images/g/TMIAAOSw8w9nH-4a/s-l500.webp
1,Google Pixel 9 Pro XL GGX8B 512GB Unlocked Very Good Condition,$826.81,"Sold  Oct 20, 2025",https://www.ebay.com/itm/357601003589,https://i.ebayimg.com/images/g/WzsAAeSwoTZo5~kv/s-l500.webp
1,Google Pixel 9 Pro 256GB Hazel Unlocked Good Condition,$599.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/286555774008,https://i.ebayimg.com/images/g/6wEAAeSwnKBo6Uga/s-l500.webp
1,Google Pixel 8 - 8 Pro - 128/256 GB - Unlocked/T-Mobile/AT&T/Verizon - Excellent,$309.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/176566603457,https://i.ebayimg.com/images/g/YFcAAOSwTO5m3k4H/s-l500.webp
1,Google Pixel 9 Pro XL 128GB Porcelain Unlocked Excellent Condition,$589.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/286088786076,https://i.ebayimg.com/images/g/4pcAAOSwk9Rm~WNw/s-l500.webp
1,Google Pixel 9 Pro XL 256GB Porcelain Unlocked Excellent Condition,$659.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/286173404655,https://i.ebayimg.com/images/g/DGYAAOSw6a5m8crs/s-l500.webp
1,Google Pixel 9 Pro 128GB Unlocked - White / Porcelain - Very Good + More,$529.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/197728006637,https://i.ebayimg.com/images/g/gBYAAOSwpCZnvzYG/s-l500.webp
1,Google Pixel 9 Pro XL 128GB Obsidian Unlocked Very Good Condition,$549.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/297104174145,https://i.ebayimg.com/images/g/~B8AAeSwcSdn0HMk/s-l500.webp
1,Google Pixel 9 Pro - Unlocked - Porcelain - 256GB - Very Good,$679.00,"Sold  Oct 19, 2025",https://www.ebay.com/itm/286498343570,https://i.ebayimg.com/images/g/oSkAAOSw52Fn9D9W/s-l500.webp
1,"Google Pixel 9 Pro XL Unlocked 256GB 6.8"" 5G Dual SIM Obsidian Black GA05904-US",$614.99,"Sold  Oct 19, 2025",https://www.ebay.com/itm/197742750052,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l500.webp
1,Google Pixel 9 Pro GR83Y 128GB Unlocked Very Good Condition,$541.59,"Sold  Oct 19, 2025",https://www.ebay.com/itm/357604250787,https://i.ebayimg.com/images/g/KUgAAeSwSWlo5~kU/s-l500.webp
1,Google Pixel 9 Pro Fold - 256GB - Obsidian (Unlocked) - Very Good Condition,$829.99,"Sold  Oct 19, 2025",https://www.ebay.com/itm/306538705053,https://i.ebayimg.com/images/g/-wcAAOSw5gBn5E4u/s-l500.webp
1,Google Pixel 9 Pro XL 128GB Obsidian Unlocked Very Good Condition,$659.99,"Sold  Apr 7, 2025",https://www.ebay.com/itm/405562920947,https://i.ebayimg.com/images/g/~h8AAOSwRvhntkfL/s-l500.webp
1,Google Pixel 9 Pro 128GB Unlocked - Excellent,$553.95,"Sold  Oct 18, 2025",https://www.ebay.com/itm/388240331011,https://i.ebayimg.com/images/g/g-sAAOSwOpNnoS4b/s-l500.webp
1,Google Pixel 9 Pro XL - 256 GB - 6.8-inch Display Unlocked 1 YEAR WARRANTY,$606.14,"Sold  Oct 18, 2025",https://www.ebay.com/itm/177431945757,https://i.ebayimg.com/images/g/nSoAAeSw3cho0W29/s-l500.webp
1,Google Pixel 9 Pro XL GGX8B 256GB Unlocked Very Good Condition,$755.78,"Sold  Oct 18, 2025",https://www.ebay.com/itm/357601030025,https://i.ebayimg.com/images/g/2N0AAeSweHpowxTJ/s-l500.webp
1,Google Pixel 9 Pro 128GB Hazel Unlocked Good Condition,$519.99,"Sold  Oct 18, 2025",https://www.ebay.com/itm/277273783249,https://i.ebayimg.com/images/g/y1sAAeSwzwxo7pbu/s-l500.webp
1,"Google Pixel 9 Pro Fold 512GB Unlocked Obsidian Black 48MP 6.3"" 2024 WiFi",$849.99,"Sold  Oct 18, 2025",https://www.ebay.com/itm/205744021140,https://i.ebayimg.com/images/g/HvwAAOSw9x9nP4bZ/s-l500.webp
