Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_6_Pro
1,Google Pixel 6 PRO 5G Android Unlocked Smartphone 128GB Very Good Condition,$182.99,2025-10-22,https://www.ebay.com/itm/195929387830,https://i.ebayimg.com/images/g/-ZAAAOSwNlVk1R1U/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro G8V0U Unlocked 128GB Cloudy White Very Good,$164.99,2025-10-21,https://www.ebay.com/itm/186676772935,https://i.ebayimg.com/images/g/IjEAAOSwkjpm3eBS/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro G8V0U Unlocked 128GB Stormy Black Very Good,$159.99,2025-10-20,https://www.ebay.com/itm/176486191776,https://i.ebayimg.com/images/g/1NIAAOSwCcNmn9di/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 128GB Unlocked - Good,$163.99,2025-10-20,https://www.ebay.com/itm/255889634358,https://i.ebayimg.com/images/g/sXkAAeSwdq9ojFWy/s-l500.webp,128 GB,Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro - 256GB Stormy Black *UNLOCKED* [G8V0U] Very Good,$206.99,2025-10-20,https://www.ebay.com/itm/146549898373,https://i.ebayimg.com/images/g/hB8AAOSwsJJlS87d/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
1,"Google Pixel 6 Pro G8V0U 128GB Verizon/Unlocked Smartphone, Very Good",$205.78,2025-10-20,https://www.ebay.com/itm/267065586390,https://i.ebayimg.com/images/g/IL4AAOSwKsljZUHW/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro G8V0U Unlocked 128GB Sorta Sunny Very Good,$169.99,2025-10-18,https://www.ebay.com/itm/176500715023,https://i.ebayimg.com/images/g/UmcAAOSwk65mqxfj/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 128GB - Unlocked - Stormy Black - Very Good Refurbished,$179.99,2025-10-16,https://www.ebay.com/itm/227028415097,https://i.ebayimg.com/images/g/QikAAeSwXlBo8Q~e/s-l500.webp,128 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 256GB Unlocked - Very Good,$214.99,2025-10-16,https://www.ebay.com/itm/255988719866,https://i.ebayimg.com/images/g/eZoAAeSwBzFoo50e/s-l500.webp,256 GB,Very Good,False,Pixel 6 Pro,True
1,Google Pixel 6 Pro 256GB Unlocked - Good,$189.99,2025-10-16,https://www.ebay.com/itm/255989629252,https://i.ebayimg.com/images/g/s8kAAeSwtaNoseT5/s-l500.webp,256 GB,Good,False,Pixel 6 Pro,True
