Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro_XL
1,Google Pixel 9 Pro XL 256GB Unlocked - Excellent,$646.95,2025-10-22,https://www.ebay.com/itm/389018583024,https://i.ebayimg.com/images/g/2~4AAOSwq91oOIS-/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - Unlocked - Hazel - 128GB - Good,$529.00,2025-10-22,https://www.ebay.com/itm/286681760523,https://i.ebayimg.com/images/g/rXoAAOSwtipnfCI8/s-l500.webp,128 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB - Factory Unlocked - Hazel - Good + More,$549.99,2025-10-21,https://www.ebay.com/itm/326819364719,https://i.ebayimg.com/images/g/9fAAAeSw-Xto796J/s-l500.webp,128 GB,Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL - GGX8B - 128GB Obsidian *UNLOCKED* Very Good Refurbished,$552.99,2025-10-21,https://www.ebay.com/itm/146710396052,https://i.ebayimg.com/images/g/PC8AAOSwYqFn9rTe/s-l500.webp,128 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Obsidian Unlocked Very Good Condition,$609.99,2025-10-20,https://www.ebay.com/itm/286132686857,https://i.ebayimg.com/images/g/TMIAAOSw8w9nH-4a/s-l500.webp,256 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL GGX8B 512GB Unlocked Very Good Condition,$826.81,2025-10-20,https://www.ebay.com/itm/357601003589,https://i.ebayimg.com/images/g/WzsAAeSwoTZo5~kv/s-l500.webp,512 GB,Very Good,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Porcelain Unlocked Excellent Condition,$589.99,2025-10-20,https://www.ebay.com/itm/286088786076,https://i.ebayimg.com/images/g/4pcAAOSwk9Rm~WNw/s-l500.webp,128 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 256GB Porcelain Unlocked Excellent Condition,$659.99,2025-10-20,https://www.ebay.com/itm/286173404655,https://i.ebayimg.com/images/g/DGYAAOSw6a5m8crs/s-l500.webp,256 GB,Excellent,False,Pixel 9 Pro XL,True
1,Google Pixel 9 Pro XL 128GB Obsidian Unlocked Very Good Condition,$549.99,2025-10-20,https://www.ebay.com/itm/297104174145,https://i.ebayimg.com/images/g/~B8AAeSwcSdn0HMk/s-l500.webp,128 GB,Very Good,False,Pixel 9 Pro XL,True
1,"Google Pixel 9 Pro XL Unlocked 256GB 6.8"" 5G Dual SIM Obsidian Black GA05904-US",$614.99,2025-10-19,https://www.ebay.com/itm/197742750052,https://i.ebayimg.com/images/g/qwYAAOSwBB9nI79a/s-l500.webp,256 GB,Unknown,False,Pixel 9 Pro XL,True
