Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_7
1,Google Pixel 7 128GB Snow Unlocked Good Condition,$179.99,2025-10-22,https://www.ebay.com/itm/295838294311,https://i.ebayimg.com/images/g/u~gAAOSwPwlnD9lm/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 5G 128GB - Lemongrass Obsidian Snow - Unlocked - Very Good,$171.99,2025-10-22,https://www.ebay.com/itm/404594628125,https://i.ebayimg.com/images/g/ZWMAAOSw3aplRIOH/s-l500.webp,128 GB,Very Good,False,Pixel 7,True
1,"Google Pixel 7 128GB Unlocked GA03943-US 6.3"" 50MP WiFi NFC 5G LTE Lemongrass",$164.99,2025-10-22,https://www.ebay.com/itm/197701910487,https://i.ebayimg.com/images/g/4o0AAOSwETxj0sth/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 | 7a | 7 Pro 128GB 256GB 512GB - Unlocked - Smartphone Excellent,$209.95,2025-10-21,https://www.ebay.com/itm/186577112086,https://i.ebayimg.com/images/g/h~kAAOSwfqZmmrBY/s-l500.webp,128 GB,Excellent,False,Pixel 7,True
1,Google Pixel 7 | 7a | 7 Pro - Unlocked Privacy Phone - De-Googled w/ GrapheneOS,$244.95,2025-10-21,https://www.ebay.com/itm/256969117963,https://i.ebayimg.com/images/g/5D0AAeSwAb1oo0ZV/s-l500.webp,Unknown,Unknown,False,Pixel 7,True
1,Google Pixel 7 - 128GB - White Snow - Factory Unlocked - Good + More,$154.99,2025-10-21,https://www.ebay.com/itm/197791753781,https://i.ebayimg.com/images/g/IsYAAeSw0B9owFWN/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 | 7a | 7 Pro 128GB | 256GB - Unlocked T-Mobile AT&T - Very Good,$194.95,2025-10-21,https://www.ebay.com/itm/256577262293,https://i.ebayimg.com/images/g/sNsAAOSwRX5mmoNd/s-l500.webp,128 GB,Very Good,False,Pixel 7,True
1,Google Pixel 7 | 7a | 7 Pro 128GB | 256GB | 512GB Unlocked T-Mobile AT&T - Good,$179.95,2025-10-21,https://www.ebay.com/itm/256864574845,https://i.ebayimg.com/images/g/sNsAAOSwRX5mmoNd/s-l500.webp,128 GB,Good,False,Pixel 7,True
1,Google Pixel 7 | 7a | 7 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T,$179.95,2025-10-21,https://www.ebay.com/itm/276557533467,https://i.ebayimg.com/images/g/haoAAOSw605mkYOL/s-l500.webp,128 GB,Unknown,False,Pixel 7,True
1,Google Pixel 7 128GB Unlocked - Very Good,$177.99,2025-10-21,https://www.ebay.com/itm/256165742312,https://i.ebayimg.com/images/g/dDUAAeSwt-dojEjn/s-l500.webp,128 GB,Very Good,False,Pixel 7,True
