Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9_Pro
1,Google Pixel 9 Pro 128GB Factory Unlocked - Good,$494.99,2025-10-22,https://www.ebay.com/itm/226977900964,https://i.ebayimg.com/images/g/6fgAAeSwXJVoydZ6/s-l140.webp,128 GB,Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Porcelain Unlocked Very Good Condition,$529.99,2025-10-22,https://www.ebay.com/itm/277325702588,https://i.ebayimg.com/images/g/XjwAAeSwt2to99JB/s-l140.webp,128 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 512GB Hazel Unlocked Excellent Condition,$809.99,2025-10-21,https://www.ebay.com/itm/286714834226,https://i.ebayimg.com/images/g/oT0AAeSweONo-SHT/s-l140.webp,512 GB,Excellent,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro 5G (128GB, 16GB) 6.3"" Fully Unlocked (US Model) GR83Y",$595.40,2025-09-02,https://www.ebay.com/itm/146349773379,https://i.ebayimg.com/images/g/NL8AAeSwyGho7V52/s-l140.webp,128 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Factory Unlocked - Excellent,$563.99,2025-10-21,https://www.ebay.com/itm/226977896958,https://i.ebayimg.com/images/g/6fgAAeSwXJVoydZ6/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Hazel Unlocked Excellent Condition,$559.99,2025-10-21,https://www.ebay.com/itm/276977787221,https://i.ebayimg.com/images/g/0FIAAeSwpFhn4tKM/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold 256GB Obsidian Unlocked Excellent Condition,$879.99,2025-10-21,https://www.ebay.com/itm/276700336130,https://i.ebayimg.com/images/g/0vQAAOSwu11nGm01/s-l140.webp,256 GB,Excellent,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Unlocked 256GB 6.3"" 5G Dual SIM Rose Quartz GA09358-US",$709.99,2025-04-13,https://www.ebay.com/itm/205368718199,https://i.ebayimg.com/images/g/TdkAAOSwncNnrjJC/s-l140.webp,256 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - Unlocked - Obsidian - 256GB - Very Good,$794.00,2025-10-21,https://www.ebay.com/itm/286270574325,https://i.ebayimg.com/images/g/29oAAOSwo4Fnh9N~/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB - Obsidian - (Carrier Unlocked),$574.98,2025-10-21,https://www.ebay.com/itm/156794836638,https://i.ebayimg.com/images/g/TGIAAOSwGidnN6mR/s-l140.webp,128 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 256GB Hazel Unlocked Good Condition,$599.99,2025-10-20,https://www.ebay.com/itm/286555774008,https://i.ebayimg.com/images/g/6wEAAeSwnKBo6Uga/s-l140.webp,256 GB,Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Unlocked - White / Porcelain - Very Good + More,$529.99,2025-10-20,https://www.ebay.com/itm/197728006637,https://i.ebayimg.com/images/g/gBYAAOSwpCZnvzYG/s-l140.webp,128 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro - Unlocked - Porcelain - 256GB - Very Good,$679.00,2025-10-19,https://www.ebay.com/itm/286498343570,https://i.ebayimg.com/images/g/oSkAAOSw52Fn9D9W/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro GR83Y 128GB Unlocked Very Good Condition,$541.59,2025-10-19,https://www.ebay.com/itm/357604250787,https://i.ebayimg.com/images/g/KUgAAeSwSWlo5~kU/s-l140.webp,128 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - 256GB - Obsidian (Unlocked) - Very Good Condition,$829.99,2025-10-19,https://www.ebay.com/itm/306538705053,https://i.ebayimg.com/images/g/-wcAAOSw5gBn5E4u/s-l140.webp,256 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Unlocked - Excellent,$553.95,2025-10-18,https://www.ebay.com/itm/388240331011,https://i.ebayimg.com/images/g/g-sAAOSwOpNnoS4b/s-l140.webp,128 GB,Excellent,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro 128GB Hazel Unlocked Good Condition,$519.99,2025-10-18,https://www.ebay.com/itm/277273783249,https://i.ebayimg.com/images/g/y1sAAeSwzwxo7pbu/s-l140.webp,128 GB,Good,False,Pixel 9 Pro,True
1,"Google Pixel 9 Pro Fold 512GB Unlocked Obsidian Black 48MP 6.3"" 2024 WiFi",$849.99,2025-10-18,https://www.ebay.com/itm/205744021140,https://i.ebayimg.com/images/g/HvwAAOSw9x9nP4bZ/s-l140.webp,512 GB,Unknown,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro GR83Y Unlocked 512GB Hazel Very Good,$659.99,2025-04-08,https://www.ebay.com/itm/176934414085,https://i.ebayimg.com/images/g/MWwAAeSwVk5n2dzu/s-l140.webp,512 GB,Very Good,False,Pixel 9 Pro,True
1,Google Pixel 9 Pro Fold - Unlocked - Obsidian - 512GB - Excellent,$929.00,2025-10-15,https://www.ebay.com/itm/276983806678,https://i.ebayimg.com/images/g/29oAAOSwo4Fnh9N~/s-l140.webp,512 GB,Excellent,False,Pixel 9 Pro,True
