Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Pixel_9
1,Google Pixel 9 128GB Obsidian Unlocked Very Good Condition,$419.99,2025-10-22,https://www.ebay.com/itm/277131683955,https://i.ebayimg.com/images/g/xhUAAeSw2QFn2Gx6/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
1,"Google Pixel 9 128GB Unlocked 6.3"" 5G Dual SIM Obsidian Black GA05226-US",$439.99,2025-10-21,https://www.ebay.com/itm/197727937689,https://i.ebayimg.com/images/g/GLMAAOSwm6RnI78q/s-l500.webp,128 GB,Unknown,False,Pixel 9,True
1,Google Pixel 9 128GB Obsidian Unlocked Excellent Condition,$459.99,2025-10-21,https://www.ebay.com/itm/276817531692,https://i.ebayimg.com/images/g/LogAAOSwNwhnI6cL/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 G2YBB Unlocked 128GB Obsidian Good,$429.99,2025-10-20,https://www.ebay.com/itm/176751089659,https://i.ebayimg.com/images/g/qPgAAOSw8GFnZ1AA/s-l500.webp,128 GB,Good,False,Pixel 9,True
1,"Google Pixel 9 256GB Unlocked 6.3"" 5G Dual SIM Obsidian Black GA05842-US",$569.99,2025-04-20,https://www.ebay.com/itm/326492424361,https://i.ebayimg.com/images/g/GLMAAOSwm6RnI78q/s-l500.webp,256 GB,Unknown,False,Pixel 9,True
1,Google Pixel 9 - Unlocked - Obsidian - 128GB - Excellent,$454.00,2025-10-18,https://www.ebay.com/itm/276790099309,https://i.ebayimg.com/images/g/XfwAAOSwzctm6f3o/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 128GB Wintergreen Unlocked Very Good Condition,$439.99,2025-10-17,https://www.ebay.com/itm/277110569452,https://i.ebayimg.com/images/g/TssAAeSw39xo7w5C/s-l500.webp,128 GB,Very Good,False,Pixel 9,True
1,Google Pixel 9 128GB - Black Obsidian - Network Unlocked - Good + More,$399.99,2025-10-14,https://www.ebay.com/itm/197759864621,https://i.ebayimg.com/images/g/QZYAAOSwtY5n~WWf/s-l500.webp,128 GB,Good,False,Pixel 9,True
1,Google Pixel 9 G2YBB 128GB Unlocked Excellent Condition,$521.48,2025-10-13,https://www.ebay.com/itm/357604269387,https://i.ebayimg.com/images/g/hkYAAeSwu81owva0/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 G2YBB Unlocked 128GB Obsidian Excellent,$459.99,2025-10-13,https://www.ebay.com/itm/176780768998,https://i.ebayimg.com/images/g/xaUAAOSweTFnfwz4/s-l500.webp,128 GB,Excellent,False,Pixel 9,True
1,Google Pixel 9 G2YBB 256GB Unlocked Very Good Condition,$569.00,2025-10-11,https://www.ebay.com/itm/357604289200,https://i.ebayimg.com/images/g/jyIAAeSwPA5owvhg/s-l500.webp,256 GB,Very Good,False,Pixel 9,True
