Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro_Max
1,Apple iPhone 16 Pro Max 256GB Unlocked Good Condition - All Colors,$849.99,2025-10-22,https://www.ebay.com/itm/296858720503,https://i.ebayimg.com/images/g/SSYAAOSwzLlnUJUL/s-l500.webp,256 GB,Good,False,iPhone 16 Pro Max,True
1,"Apple iPhone 16 Pro Max, 256gb, Titanium - Unlocked - E sim version - Excellent",$891.99,2025-10-22,https://www.ebay.com/itm/156837463811,https://i.ebayimg.com/images/g/n54AAOSwNsVnm5Hg/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked Excellent Condition,$898.99,2025-10-22,https://www.ebay.com/itm/356605681295,https://i.ebayimg.com/images/g/kwQAAeSwO~No498d/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - White Titanium - 256GB - Excellent,$905.00,2025-10-22,https://www.ebay.com/itm/286152835653,https://i.ebayimg.com/images/g/7XYAAOSwPXNnLmrs/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Desert Titanium - 512GB - Very Good,$959.00,2025-10-22,https://www.ebay.com/itm/286528297033,https://i.ebayimg.com/images/g/3jAAAOSwc3JnMoJb/s-l500.webp,512 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked Excellent Condition - All Colors,$914.99,2025-10-22,https://www.ebay.com/itm/276815519726,https://i.ebayimg.com/images/g/b8AAAOSw7NNnhTrT/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max  256GB  Natural Titanium Unlocked Physical Sim Very Good,$924.99,2025-10-22,https://www.ebay.com/itm/157398336469,https://i.ebayimg.com/images/g/0s0AAeSwwt5o8ofh/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 1TB Unlocked Good Condition - All Colors,$969.99,2025-10-22,https://www.ebay.com/itm/286199037838,https://i.ebayimg.com/images/g/ovAAAOSwebtnUJTU/s-l500.webp,Unknown,Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Black Titanium - 256GB - Excellent,$905.00,2025-10-22,https://www.ebay.com/itm/286150606496,https://i.ebayimg.com/images/g/UaAAAOSw3rhm-t85/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max - Unlocked - Natural Titanium - 256GB - Excellent,$905.00,2025-10-22,https://www.ebay.com/itm/276836675140,https://i.ebayimg.com/images/g/TZIAAOSwZQBm-t5t/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked Very Good Condition,$884.99,2025-10-22,https://www.ebay.com/itm/356605653571,https://i.ebayimg.com/images/g/8vgAAeSwZxJo493a/s-l500.webp,256 GB,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max A3084 - Unlocked - Very Good,$829.99,2025-10-22,https://www.ebay.com/itm/257167903499,https://i.ebayimg.com/images/g/d-8AAeSwESto97la/s-l500.webp,Unknown,Very Good,False,iPhone 16 Pro Max,True
1,Apple iPhone 16 Pro Max 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$883.95,2025-10-22,https://www.ebay.com/itm/306070698509,https://i.ebayimg.com/images/g/Ti0AAOSwBXpnmQBK/s-l500.webp,256 GB,Excellent,False,iPhone 16 Pro Max,True
