Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_15
1,Apple iPhone 15 512GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,$527.95,2025-10-22,https://www.ebay.com/itm/296106948944,https://i.ebayimg.com/images/g/fsUAAOSwBixnN62t/s-l140.webp,512 GB,Very Good,False,iPhone 15,True
1,Apple iPhone 15 A2846 128GB Unlocked Excellent Condition,$455.99,2025-10-22,https://www.ebay.com/itm/356036252976,https://i.ebayimg.com/images/g/pscAAOSwJRNnZdBb/s-l140.webp,128 GB,Excellent,False,iPhone 15,True
1,Apple iPhone 15 A2846 128GB Unlocked Very Good Condition,$411.99,2025-10-22,https://www.ebay.com/itm/356036255923,https://i.ebayimg.com/images/g/TfcAAOSwevBnZdB0/s-l140.webp,128 GB,Very Good,False,iPhone 15,True
1,Apple iPhone 15 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,$443.95,2025-10-22,https://www.ebay.com/itm/296129124843,https://i.ebayimg.com/images/g/m~UAAOSwERdnN64a/s-l140.webp,128 GB,Very Good,False,iPhone 15,True
1,Apple iPhone 15 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,$466.95,2025-10-22,https://www.ebay.com/itm/296110312917,https://i.ebayimg.com/images/g/SK4AAOSwSidnN635/s-l140.webp,128 GB,Excellent,False,iPhone 15,True
1,"Apple iPhone 15 128GB Unlocked 6.1"" - (Black) A2846 w/1 Year Warranty",$422.00,2025-10-22,https://www.ebay.com/itm/146557295323,https://i.ebayimg.com/images/g/Q58AAOSwYVFoFRKk/s-l140.webp,128 GB,Unknown,False,iPhone 15,True
1,Apple iPhone 15 A2846 256GB Unlocked Very Good Condition,$472.99,2025-10-22,https://www.ebay.com/itm/357341402304,https://i.ebayimg.com/images/g/GWwAAeSwM01ogVr5/s-l140.webp,256 GB,Very Good,False,iPhone 15,True
1,"Apple iPhone 15 128GB Unlocked 6.1"" - (Pink) A2846 w/1 Year Warranty",$415.00,2025-10-22,https://www.ebay.com/itm/146557296479,https://i.ebayimg.com/images/g/EfUAAOSwm9RoFRLz/s-l140.webp,128 GB,Unknown,False,iPhone 15,True
1,Apple iPhone 15 128GB - Fully Unlocked- EXCELLENT Condition,$464.99,2025-10-22,https://www.ebay.com/itm/326603770634,https://i.ebayimg.com/images/g/ZrUAAOSwpt9n5C6v/s-l140.webp,128 GB,Unknown,False,iPhone 15,True
1,"Apple iPhone 15,  128/256/512GB, - Unlocked -Refurbished Excellent",$479.99,2025-10-22,https://www.ebay.com/itm/226908526051,https://i.ebayimg.com/images/g/pDgAAOSwjcRlrq5B/s-l140.webp,512 GB,Excellent,False,iPhone 15,True
