Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,iPhone_16_Pro
1,Apple iPhone 16 Pro 1TB Unlocked AT&T T-Mobile Verizon Excellent Condition,$929.95,2025-10-22,https://www.ebay.com/itm/296797747450,https://i.ebayimg.com/images/g/U7MAAOSwM5ZnNhmk/s-l500.webp,Unknown,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$723.95,2025-10-22,https://www.ebay.com/itm/296832980312,https://i.ebayimg.com/images/g/IPQAAOSwty9nQL68/s-l140.webp,128 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$755.95,2025-10-22,https://www.ebay.com/itm/296803620749,https://i.ebayimg.com/images/g/-fEAAOSwPRpnNhmt/s-l140.webp,256 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked Excellent Condition,$767.99,2025-10-22,https://www.ebay.com/itm/226983072197,https://i.ebayimg.com/images/g/m6EAAeSwSwVoi5ya/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Unlocked Very Good Condition,$676.99,2025-10-22,https://www.ebay.com/itm/356605660694,https://i.ebayimg.com/images/g/mSMAAeSwZ6JnvQH9/s-l140.webp,128 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 512GB Unlocked Excellent Condition,$827.99,2025-10-22,https://www.ebay.com/itm/226982780238,https://i.ebayimg.com/images/g/m6EAAeSwSwVoi5ya/s-l140.webp,512 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro - Unlocked - Black Titanium - 256GB - Excellent,$825.00,2025-10-22,https://www.ebay.com/itm/276866539573,https://i.ebayimg.com/images/g/2-MAAOSwoe1m~YPt/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 512GB Unlocked Excellent Condition - All Colors,$879.99,2025-10-22,https://www.ebay.com/itm/286202257228,https://i.ebayimg.com/images/g/ecgAAOSwMutnUyj~/s-l140.webp,512 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked Very Good Condition,$789.99,2025-10-22,https://www.ebay.com/itm/356605638056,https://i.ebayimg.com/images/g/2eIAAeSwGAhnvP6Q/s-l140.webp,256 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Unlocked Excellent Condition,$745.99,2025-10-22,https://www.ebay.com/itm/356605645197,https://i.ebayimg.com/images/g/rZAAAeSwuxdnvQAN/s-l140.webp,128 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked AT&T T-Mobile Verizon Excellent Condition,$791.95,2025-10-22,https://www.ebay.com/itm/305941852056,https://i.ebayimg.com/images/g/9PAAAOSwaANnSg38/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Fully Unlocked Good Condition,$719.00,2025-10-22,https://www.ebay.com/itm/227030018202,https://i.ebayimg.com/images/g/m6EAAeSwSwVoi5ya/s-l140.webp,256 GB,Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Unlocked Good Condition,$689.00,2025-10-22,https://www.ebay.com/itm/227011331719,https://i.ebayimg.com/images/g/m6EAAeSwSwVoi5ya/s-l140.webp,128 GB,Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 256GB Unlocked Excellent Condition,$809.99,2025-10-22,https://www.ebay.com/itm/356605674518,https://i.ebayimg.com/images/g/om8AAeSwW5JnvQOr/s-l140.webp,256 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Unlocked Excellent Condition - All Colors,$734.99,2025-10-22,https://www.ebay.com/itm/296862911104,https://i.ebayimg.com/images/g/0T4AAOSwkEdnUyiv/s-l140.webp,128 GB,Excellent,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 512GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,$753.95,2025-10-22,https://www.ebay.com/itm/306205129053,https://i.ebayimg.com/images/g/MjsAAOSwIFhn5V5K/s-l140.webp,512 GB,Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 512GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$790.95,2025-10-21,https://www.ebay.com/itm/296803620910,https://i.ebayimg.com/images/g/BdkAAOSwY05nNhm3/s-l140.webp,512 GB,Very Good,False,iPhone 16 Pro,True
1,Apple iPhone 16 Pro 128GB Unlocked Very Good Condition,$699.00,2025-10-21,https://www.ebay.com/itm/226983040500,https://i.ebayimg.com/images/g/m6EAAeSwSwVoi5ya/s-l140.webp,128 GB,Very Good,False,iPhone 16 Pro,True
