Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S24
1,Samsung Galaxy S24 128GB S921U Unlocked - Very Good,$317.99,2025-10-29,https://www.ebay.com/itm/256611130330,https://i.ebayimg.com/images/g/6wYAAeSw6ENoL7qA/s-l500.webp,128 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L685,$259.00,2025-10-28,https://www.ebay.com/itm/127446758487,https://i.ebayimg.com/images/g/DqIAAeSwWzJo-QqZ/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ SM-S926U1 Unlocked 256GB Amber Yellow Good,$387.64,2025-10-29,https://www.ebay.com/itm/197711046759,https://i.ebayimg.com/images/g/I2AAAeSwadlozXzx/s-l500.webp,256 GB,Good,False,Galaxy S24,True
1,REFURBISHED Samsung Galaxy S24+ PLUS SM-S926U1  256GB 5G Black Unlocked,$389.00,2025-10-28,https://www.ebay.com/itm/127324442180,https://i.ebayimg.com/images/g/w3IAAeSwrMxoqJ9P/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 FE 128GB S721U Unlocked - Excellent,$298.99,2025-10-28,https://www.ebay.com/itm/256912812044,https://i.ebayimg.com/images/g/zagAAeSwDW9oMJCk/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 256GB violet  (FACTORY Unlocked) #L456,$319.00,2025-10-28,https://www.ebay.com/itm/146893972054,https://i.ebayimg.com/images/g/KtoAAeSwVlNo7XQA/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24 SM-S921U1 5G 128GB Violet Purple (Unlocked) #L308,$304.00,2025-10-28,https://www.ebay.com/itm/116849789783,https://i.ebayimg.com/images/g/WiIAAeSw79Jo2ZLy/s-l500.webp,128 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ 256GB (Unlocked) - Onyx Black,$414.98,2025-10-28,https://www.ebay.com/itm/365949458064,https://i.ebayimg.com/images/g/upIAAeSwsoVpAQSR/s-l500.webp,256 GB,Unknown,False,Galaxy S24,True
1,Samsung Galaxy S24+ 256GB S926U Unlocked - Very Good,$401.99,2025-10-28,https://www.ebay.com/itm/256626329653,https://i.ebayimg.com/images/g/KYUAAeSwE0ZoNeeb/s-l500.webp,256 GB,Very Good,False,Galaxy S24,True
1,Samsung Galaxy S24 128GB S921U Unlocked - Excellent,$335.99,2025-10-28,https://www.ebay.com/itm/256496745168,https://i.ebayimg.com/images/g/x8MAAeSwR8toMMGM/s-l500.webp,128 GB,Excellent,False,Galaxy S24,True
