Page,Title,Price,Sold Date,Link,Image Link,Storage,Condition,PartsOnly,Model,Galaxy_S24Plus
1,Samsung Galaxy S24 Plus Fully Unlocked 6.7in  256GB - Very Good,$429.00,2025-10-27,https://www.ebay.com/itm/136234028196,https://i.ebayimg.com/images/g/tG8AAeSwXcto3UC6/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked 256GB Jade Green - Very Good,$429.00,2025-10-26,https://www.ebay.com/itm/277442488902,https://i.ebayimg.com/images/g/U2sAAeSwtM5o7d90/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Unlocked Samsung Galaxy S24 Plus 5G - 256GB - Cobalt Violet - SM-S926UZVAXAA,$539.99,2025-01-06,https://www.ebay.com/itm/176597745445,https://i.ebayimg.com/images/g/isYAAOSwsotm9Z3C/s-l500.webp,256 GB,Unknown,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U - 256GB - Onyx Black (Unlocked) - Very Good,$439.99,2025-10-25,https://www.ebay.com/itm/306471931598,https://i.ebayimg.com/images/g/picAAOSwQj1nK1yF/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Fully Unlocked - 256GB - 6.7in - Excellent,$466.00,2025-10-25,https://www.ebay.com/itm/167509499672,https://i.ebayimg.com/images/g/JdEAAeSwn5Zo2r9Z/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked 256GB Onyx Black - Very Good,$429.00,2025-10-23,https://www.ebay.com/itm/286150665667,https://i.ebayimg.com/images/g/F5AAAOSwbKtmw8Fr/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus 512GB Marble Gray Unlocked Good Condition,$499.99,2025-10-21,https://www.ebay.com/itm/277275324282,https://i.ebayimg.com/images/g/PQUAAeSwdx9oycj2/s-l500.webp,512 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 512GB Unlocked Very Good Condition,$520.94,2025-10-20,https://www.ebay.com/itm/357600824104,https://i.ebayimg.com/images/g/G6kAAeSwPqNo5~kR/s-l500.webp,512 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked - Amber Yellow - 512GB - Very Good,$489.00,2025-10-20,https://www.ebay.com/itm/277447281266,https://i.ebayimg.com/images/g/hwMAAOSwPeJnh9RD/s-l500.webp,512 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U1 - 512GB - Orange (Unlocked) - Good Cond.,$399.99,2025-10-15,https://www.ebay.com/itm/306541747355,https://i.ebayimg.com/images/g/RcIAAeSwpGpodOT-/s-l500.webp,512 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 256GB Unlocked Very Good Condition,$431.91,2025-10-14,https://www.ebay.com/itm/357295187631,https://i.ebayimg.com/images/g/FEwAAeSwuG1owxpx/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 512GB Unlocked Excellent Condition,$562.22,2025-10-11,https://www.ebay.com/itm/357600794588,https://i.ebayimg.com/images/g/towAAeSw~5Bo5~kr/s-l500.webp,512 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked - Sapphire Blue - 256GB - Excellent,$459.00,2025-10-10,https://www.ebay.com/itm/286391196004,https://i.ebayimg.com/images/g/~GoAAOSweeJnMoSw/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 256GB Unlocked Excellent Condition,$484.60,2025-10-08,https://www.ebay.com/itm/357600845711,https://i.ebayimg.com/images/g/5Y4AAeSwO1NowxiB/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Unlocked Samsung Galaxy S24 Plus 5G - 256GB - Amber Yellow - SM-S926UZYAXAA,$534.99,2025-04-07,https://www.ebay.com/itm/205397315154,https://i.ebayimg.com/images/g/unAAAOSwkqpn8EQS/s-l500.webp,256 GB,Unknown,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U - 256GB - Violet (Unlocked) - Good Condition,$389.99,2025-10-02,https://www.ebay.com/itm/306378133603,https://i.ebayimg.com/images/g/oX8AAOSwH1xoWrPy/s-l500.webp,256 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked - Amber Yellow - 256GB - Excellent,$459.00,2025-09-20,https://www.ebay.com/itm/286469371825,https://i.ebayimg.com/images/g/hwMAAOSwPeJnh9RD/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked - Jade Green - 256GB - Excellent,$459.00,2025-09-16,https://www.ebay.com/itm/286817916005,https://i.ebayimg.com/images/g/MAcAAOSw9jFnlAzv/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 256GB CobaltViolet Unlocked Very Good Condition,$469.21,2025-08-28,https://www.ebay.com/itm/356842421109,https://i.ebayimg.com/images/g/e6MAAeSwX8JoEWJ8/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 512GB Cobalt Violet Unlocked Good Condition,$520.90,2025-08-25,https://www.ebay.com/itm/356846204442,https://i.ebayimg.com/images/g/QPoAAeSwJPtoqJJz/s-l500.webp,512 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 512GB Onyx Black Unlocked Good Condition,$469.99,2025-09-09,https://www.ebay.com/itm/356846052854,https://i.ebayimg.com/images/g/SRwAAeSwWNpoEqWs/s-l500.webp,512 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U 512GB Amber Yellow Unlocked Good Condition,$520.90,2025-08-19,https://www.ebay.com/itm/356846199643,https://i.ebayimg.com/images/g/SAUAAeSwcOVoErOm/s-l500.webp,512 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked - Marble Gray - 256GB - Excellent,$459.00,2025-09-09,https://www.ebay.com/itm/286364965277,https://i.ebayimg.com/images/g/KFcAAOSwxP9nLQ3Z/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus 256GB Onyx Black Unlocked Very Good Condition,$389.99,2025-09-07,https://www.ebay.com/itm/297376641648,https://i.ebayimg.com/images/g/ViQAAeSwdappAPUu/s-l500.webp,256 GB,Very Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus 256GB Cobalt Violet Unlocked Excellent Condition,$419.99,2025-09-01,https://www.ebay.com/itm/277115698647,https://i.ebayimg.com/images/g/pjQAAOSwW4lnDXSv/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus SM-S926U - 512GB - Amber Yellow (Unlocked) - Good Cond.,$489.99,2025-08-30,https://www.ebay.com/itm/306454289260,https://i.ebayimg.com/images/g/QcoAAOSwb5hoJ2a5/s-l500.webp,512 GB,Good,False,Galaxy S24+,True
1,Samsung Galaxy S24 Plus - Unlocked - Onyx Black - 256GB - Excellent,$459.00,2025-08-30,https://www.ebay.com/itm/286206939088,https://i.ebayimg.com/images/g/F5AAAOSwbKtmw8Fr/s-l500.webp,256 GB,Excellent,False,Galaxy S24+,True
