Page,Title,Price,Sold Date,Link,Image Link
1,Samsung Galaxy S22 Plus S906 128GB Unlocked - Very Good,$178.95,"Sold  Oct 29, 2025",https://www.ebay.com/itm/365357929085,https://i.ebayimg.com/images/g/mZcAAOSwUh1n4XZb/s-l500.webp
1,Samsung Galaxy S22 Plus S906 128GB Unlocked - Excellent,$192.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/364894602299,https://i.ebayimg.com/images/g/8sMAAOSw3Thn4Xa5/s-l500.webp
1,Samsung Galaxy S22+ Plus 128GB Unlocked ATT T-Mobile Verizon Excellent Condition,$205.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/297168197446,https://i.ebayimg.com/images/g/bOEAAOSwpONn6wsv/s-l500.webp
1,Samsung Galaxy S22 Plus S906 256GB Unlocked - Excellent,$215.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/405287989392,https://i.ebayimg.com/images/g/~7sAAOSwRvBjTwKZ/s-l500.webp
1,Samsung Galaxy S22 + Plus  5G 128/256GB Fully  Unlocked - Refurbished Excellent,$214.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/236252885643,https://i.ebayimg.com/images/g/ImQAAOSwje1kGbSU/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 128GB Pink Gold Unlocked Good Condition,$159.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/297574788581,https://i.ebayimg.com/images/g/kRkAAeSwrApo1YjR/s-l500.webp
1,Samsung Galaxy S22+ Plus 128GB Unlocked ATT T-Mobile Verizon Very Good Condition,$186.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/297168193218,https://i.ebayimg.com/images/g/bx0AAOSw8PRn7pHM/s-l500.webp
1,Samsung Galaxy S22+ Plus | 128GB Green *UNLOCKED* Very Good Refurb [SM-S906U],$171.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/146307189249,https://i.ebayimg.com/images/g/1mgAAOSwzxNl7zBL/s-l500.webp
1,Samsung Galaxy S22+ Plus 128GB Unlocked ATT T-Mobile Verizon Good Condition,$167.95,"Sold  Oct 27, 2025",https://www.ebay.com/itm/297168194193,https://i.ebayimg.com/images/g/L2wAAOSwn-Rn7pIK/s-l500.webp
1,Samsung Galaxy S22+ Plus 5G S906U Unlocked (Any Carrier) 128GB 256GB Good,$179.99,"Sold  Oct 27, 2025",https://www.ebay.com/itm/326675786519,https://i.ebayimg.com/images/g/Xp4AAOSwJ4ZjBY2-/s-l500.webp
1,Samsung Galaxy S22+ Plus 256GB Unlocked ATT T-Mobile Verizon Very Good Condition,$200.95,"Sold  Oct 27, 2025",https://www.ebay.com/itm/297168193514,https://i.ebayimg.com/images/g/Am4AAOSw~Gln7-Sk/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 256GB Black (Unlocked) - Very Good Condition,$271.59,"Sold  Apr 29, 2025",https://www.ebay.com/itm/306205427764,https://i.ebayimg.com/images/g/OyYAAOSw6OlmKNRy/s-l500.webp
1,Samsung Galaxy S22+ Plus SM-S906U 256GB 5G Unlocked Smartphone - Good Condition,$183.99,"Sold  Oct 26, 2025",https://www.ebay.com/itm/316486285641,https://i.ebayimg.com/images/g/PvUAAOSwu6JjYuz-/s-l500.webp
1,"Samsung Galaxy S22+ Plus 5G 256GB Unlocked Black, 90% Battery Health - GOOD B+",$331.79,"Sold  Oct 25, 2025",https://www.ebay.com/itm/186298588854,https://i.ebayimg.com/images/g/ercAAOSwRRZjojuo/s-l500.webp
1,Samsung Galaxy S22 Plus S906 256GB Unlocked - Very Good,$206.95,"Sold  Oct 25, 2025",https://www.ebay.com/itm/406090786662,https://i.ebayimg.com/images/g/~7sAAOSwRvBjTwKZ/s-l500.webp
1,Samsung Galaxy S22+ Plus 5G SM-S906U1 256GB Unlocked Excellent Refurbished,$239.99,"Sold  Oct 24, 2025",https://www.ebay.com/itm/354471193925,https://i.ebayimg.com/images/g/9eoAAOSwBFJjPcD9/s-l500.webp
1,Samsung Galaxy S22+ Plus 5G - 128GB Black *UNLOCKED* Excellent [SM-S906U],$201.99,"Sold  Oct 22, 2025",https://www.ebay.com/itm/145555777879,https://i.ebayimg.com/images/g/KHwAAOSwXiNlUqQQ/s-l500.webp
1,Samsung Galaxy S22+ Plus 5G S906U Unlocked (Any Carrier) Very Good,$177.99,"Sold  Oct 22, 2025",https://www.ebay.com/itm/225771633541,https://i.ebayimg.com/images/g/Xp4AAOSwJ4ZjBY2-/s-l500.webp
1,Samsung Galaxy S22+ Plus 256GB Unlocked ATT T-Mobile Verizon Excellent Condition,$233.95,"Sold  Oct 21, 2025",https://www.ebay.com/itm/297170973789,https://i.ebayimg.com/images/g/HxsAAOSwbAhn7DjW/s-l500.webp
1,Samsung Galaxy S22+ Plus 128GB Pink Gold | UNLOCKED (SM-S906U) Very Good Refurb,$171.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/146307189568,https://i.ebayimg.com/images/g/TDUAAOSwlQNkHPPV/s-l500.webp
1,Samsung Galaxy S22+ Plus - 128GB - Black - Fully Unlocked 5G - Good,$169.99,"Sold  Oct 17, 2025",https://www.ebay.com/itm/257044439413,https://i.ebayimg.com/images/g/rUUAAOSwcipnNQgN/s-l500.webp
1,Samsung Galaxy S22+ PLUS 256GB FACTORY UNLOCKED VERIZON ATT TMOBILE - EXCELLENT,$249.48,"Sold  Oct 17, 2025",https://www.ebay.com/itm/135066951897,https://i.ebayimg.com/images/g/xr0AAOSwFZVlvsfM/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Phantom Black (Unlocked) - Good Cond.,$188.92,"Sold  Oct 17, 2025",https://www.ebay.com/itm/306483376194,https://i.ebayimg.com/images/g/XNcAAeSwNiZotWjS/s-l500.webp
1,Samsung Galaxy S22+ PLUS 128GB 256GB BLACK WHITE GREEN PINK UNLOCKED,$219.00,"Sold  Oct 15, 2025",https://www.ebay.com/itm/145571241547,https://i.ebayimg.com/images/g/SGwAAOSwaKVlsAp0/s-l500.webp
1,Samsung Galaxy S22+ Plus 256GB Unlocked ATT T-Mobile Verizon Good Condition,$186.95,"Sold  Oct 15, 2025",https://www.ebay.com/itm/297168194621,https://i.ebayimg.com/images/g/vKcAAOSwNCtn7pPF/s-l500.webp
1,Samsung Galaxy S22+ Plus 5G S906U Verizon Unlocked T-Mobile US Cellular Spectrum,$189.99,"Sold  Oct 13, 2025",https://www.ebay.com/itm/226958169165,https://i.ebayimg.com/images/g/NhUAAOSwNe9oWsu6/s-l500.webp
1,Samsung Galaxy S22+ Plus | 128GB | White *UNLOCKED* Very Good Refurb (SM-S906U),$172.99,"Sold  Oct 11, 2025",https://www.ebay.com/itm/145787692765,https://i.ebayimg.com/images/g/b5UAAOSwBwhk72PI/s-l500.webp
1,Samsung Galaxy S22+ Plus 5G 128GB S906U Verizon/Unlocked Smartphone - Very Good,$284.20,"Sold  Apr 12, 2025",https://www.ebay.com/itm/267217510764,https://i.ebayimg.com/images/g/IXAAAOSwdYtjPMUF/s-l500.webp
1,Samsung Galaxy S22+ Plus  (SM-S906U) 128GB | Black | UNLOCKED | Very Good Refurb,$177.99,"Sold  Oct 11, 2025",https://www.ebay.com/itm/144992345138,https://i.ebayimg.com/images/g/sZoAAOSwXsdkFNb8/s-l500.webp
