Page,Title,Price,Sold Date,Link,Image Link
1,Samsung Galaxy S24 128GB S921U Unlocked - Very Good,$317.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256611130330,https://i.ebayimg.com/images/g/6wYAAeSw6ENoL7qA/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB S928U Unlocked - Very Good,$629.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256652847224,https://i.ebayimg.com/images/g/JXIAAeSwam1oL3KT/s-l500.webp
1,Samsung Galaxy S24 FE SM-S721U1  128GB 5G Graphite Unlocked #L685,$259.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/127446758487,https://i.ebayimg.com/images/g/DqIAAeSwWzJo-QqZ/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB Unlocked ATT T-Mobile Verizon Excellent Condition,$615.95,"Sold  Oct 29, 2025",https://www.ebay.com/itm/297168063417,https://i.ebayimg.com/images/g/o5MAAOSwDZln6vxP/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB S928U Unlocked - Excellent,$652.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256754180033,https://i.ebayimg.com/images/g/DksAAeSwmIdoL3Jv/s-l500.webp
1,Samsung Galaxy S24+ SM-S926U1 Unlocked 256GB Amber Yellow Good,$387.64,"Sold  Oct 29, 2025",https://www.ebay.com/itm/197711046759,https://i.ebayimg.com/images/g/I2AAAeSwadlozXzx/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U Unlocked 256GB Titanium Violet Good,$562.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/196534790805,https://i.ebayimg.com/images/g/GS4AAOSwwz1mqxDF/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB S928U Unlocked - Excellent,$587.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256601270287,https://i.ebayimg.com/images/g/O1kAAeSwU65oL3FA/s-l500.webp
1,SAMSUNG Galaxy S24 Ultra 5G US Version  1TB  - Unlocked - Excellent,$752.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/157328122981,https://i.ebayimg.com/images/g/JSwAAeSwXhxoystD/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB S928U Unlocked - Very Good,$559.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256652847211,https://i.ebayimg.com/images/g/rWcAAeSwvc9oL3F1/s-l500.webp
