Page,Title,Price,Sold Date,Link,Image Link
1,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Good,$419.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/256413667885,https://i.ebayimg.com/images/g/~wAAAeSwVshoPGVL/s-l500.webp
1,Samsung Galaxy S23 SM-S911U1 5G 128G 256GB Black Cream Green Unlocked,$239.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/126980765750,https://i.ebayimg.com/images/g/vs8AAOSwWAhlW9H6/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Excellent,$429.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/256379350806,https://i.ebayimg.com/images/g/3zUAAeSwx09oL5cI/s-l500.webp
1,Samsung Galaxy S23+ PLUS SM-S916U1 5G Black Cream Green UNLOCKED 5G,$299.00,"Sold  Oct 17, 2025",https://www.ebay.com/itm/116041499122,https://i.ebayimg.com/images/g/JjwAAOSwosJlpwOo/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Very Good,$443.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/256613651818,https://i.ebayimg.com/images/g/gksAAeSwbetoNKMA/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Very Good,$410.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/256379350872,https://i.ebayimg.com/images/g/GmkAAeSwNEBoL7tf/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB Unlocked ATT T-Mobile Verizon Excellent Condition,$442.95,"Sold  Oct 18, 2025",https://www.ebay.com/itm/306207383416,https://i.ebayimg.com/images/g/ffsAAOSw-iNn6r0c/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB Unlocked ATT T-Mobile Verizon Very Good Condition,$456.95,"Sold  Oct 20, 2025",https://www.ebay.com/itm/306207382298,https://i.ebayimg.com/images/g/W5EAAOSwD79n6rz1/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Excellent,$466.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/256482045980,https://i.ebayimg.com/images/g/S10AAeSwJz5oL11N/s-l500.webp
1,Samsung Galaxy S23 Ultra SM-S918U1 5G 256GB - Green (Unlocked) #L399,$349.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/146860286840,https://i.ebayimg.com/images/g/pfkAAeSw6WFo2YLT/s-l500.webp
