Page,Title,Price,Sold Date,Link,Image Link
1,Excellent Samsung Galaxy S23 128GB Cream Verizon Locked Android Smartphone,$234.89,"Sold  Oct 29, 2025",https://www.ebay.com/itm/187631441629,https://i.ebayimg.com/images/g/tKoAAeSwDdRoeQA5/s-l500.webp
1,Samsung Galaxy S23 Ultra 5G - 512GB - Green - Unlocked - SM-S918UZGFXAA,$736.99,"Sold  Aug 6, 2024",https://www.ebay.com/itm/176496115921,https://i.ebayimg.com/images/g/UJwAAOSwI05mp7E4/s-l500.webp
1,Samsung Galaxy S23 128GB S911U Unlocked - Excellent,$232.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256372271129,https://i.ebayimg.com/images/g/AXAAAeSwl3loL2cC/s-l500.webp
1,Samsung Galaxy S23 FE 128GB S711U Unlocked - Excellent,$214.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256484189056,https://i.ebayimg.com/images/g/lwMAAeSwejloL8Ec/s-l500.webp
1,Samsung Galaxy S23+ PLUS SM-S916U1  512GB 5G Black (Unlocked) #L566,$309.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/116826156812,https://i.ebayimg.com/images/g/mCcAAeSwBDxo7Tvp/s-l500.webp
1,Samsung Galaxy S23 SM-S911U1 5G  128GB Lavender (Unlocked) #L703,$219.00,"Sold  Oct 29, 2025",https://www.ebay.com/itm/127446681069,https://i.ebayimg.com/images/g/VrMAAeSwaLpo-P16/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Very Good,$442.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256613651818,https://i.ebayimg.com/images/g/gksAAeSwbetoNKMA/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Very Good,$409.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256379350872,https://i.ebayimg.com/images/g/GmkAAeSwNEBoL7tf/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB Unlocked AT&T T-Mobile Verizon Good Condition,$428.95,"Sold  Oct 29, 2025",https://www.ebay.com/itm/297159036795,https://i.ebayimg.com/images/g/iEAAAOSwVMNn6r0E/s-l500.webp
1,Samsung Galaxy S23 5G 128/256GB  Unlocked -Refurbished Excellent,$259.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/326722087811,https://i.ebayimg.com/images/g/0tsAAOSwAPhl81iZ/s-l500.webp
1,Samsung Galaxy S23+ 256GB S916U Unlocked - Very Good,$279.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256372558345,https://i.ebayimg.com/images/g/rTsAAeSw1tRoL7qR/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Excellent,$464.99,"Sold  Oct 29, 2025",https://www.ebay.com/itm/256482045980,https://i.ebayimg.com/images/g/S10AAeSwJz5oL11N/s-l500.webp
1,Samsung Galaxy S23 Plus 256GB Green Unlocked Good Condition,$259.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/286695846588,https://i.ebayimg.com/images/g/ugsAAeSwILNn2ch2/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Excellent,$428.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256379350806,https://i.ebayimg.com/images/g/3zUAAeSwx09oL5cI/s-l500.webp
1,Samsung Galaxy S23 FE SM-S711U Unlocked 128GB Purple Good,$211.69,"Sold  Oct 28, 2025",https://www.ebay.com/itm/186586705108,https://i.ebayimg.com/images/g/HbkAAOSwXSxmoALh/s-l500.webp
1,Samsung Galaxy S23 FE SM-S711U1 Unlocked 128GB Mint Good,$211.69,"Sold  Oct 28, 2025",https://www.ebay.com/itm/186588798675,https://i.ebayimg.com/images/g/LyUAAOSw4f9moRX-/s-l500.webp
1,Samsung Galaxy S23 FE SM-S711U Unlocked 128GB Mint Good,$211.69,"Sold  Oct 28, 2025",https://www.ebay.com/itm/196518719504,https://i.ebayimg.com/images/g/cUQAAOSw5olmoAAG/s-l500.webp
1,Samsung Galaxy S23+ 256GB S916U Unlocked - Excellent,$298.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256372558291,https://i.ebayimg.com/images/g/yeQAAeSwzdJoL09Q/s-l500.webp
1,Samsung Galaxy S23+ Plus 5G S916U S916 Unlocked (Any Carrier) Good,$289.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/197679969500,https://i.ebayimg.com/images/g/g58AAOSwXIhktBc4/s-l500.webp
1,Unlocked Samsung Galaxy S23 Ultra 5G SM-S918U - Excellent Condition -  ALL Color,$429.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/167374964707,https://i.ebayimg.com/images/g/wxsAAOSwjUJnp6BB/s-l500.webp
1,Samsung Galaxy S23 128GB S911U Unlocked - Good,$205.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256372465052,https://i.ebayimg.com/images/g/kvwAAeSwDeVoL2FO/s-l500.webp
1,"Samsung Galaxy S23+ Plus 5G, 256 /512GB Unlocked - Refurbished Excellent",$324.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/236252872554,https://i.ebayimg.com/images/g/F~cAAOSwJo5nyyqG/s-l500.webp
1,Samsung Galaxy S23 128GB S911U Unlocked - Very Good,$223.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256372450471,https://i.ebayimg.com/images/g/7eYAAeSwaNZoMI-3/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB S918U Unlocked - Good,$380.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256460585805,https://i.ebayimg.com/images/g/am8AAeSwvzdoL7An/s-l500.webp
1,Samsung Galaxy S23 Plus 512GB Phantom Black Unlocked Good Condition,$299.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/277327561592,https://i.ebayimg.com/images/g/4FYAAeSwlnxo5Ar4/s-l500.webp
1,Samsung Galaxy S23 S911U1 128GB 256GB Unlocked Excellent,$262.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/186372160670,https://i.ebayimg.com/images/g/d7sAAOSwgbJl-K0v/s-l500.webp
1,Samsung Galaxy S23+ Plus 256GB S916U1 5G Factory Unlocked - Very Good,$279.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/275946943064,https://i.ebayimg.com/images/g/8b0AAOSwRBdkrxr3/s-l500.webp
1,Samsung Galaxy S23 Ultra SM-S918U1 Unlocked 256GB Phantom Black Good,$360.74,"Sold  Oct 28, 2025",https://www.ebay.com/itm/196518721966,https://i.ebayimg.com/images/g/deYAAOSwyVRmoAA6/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB SM-S918U1 Factory Unlocked - Excellent,$419.48,"Sold  Oct 28, 2025",https://www.ebay.com/itm/116285984225,https://i.ebayimg.com/images/g/JnUAAOSw7NxmLl3S/s-l500.webp
1,Samsung Galaxy S23+ 256GB S916U Unlocked - Good,$251.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256372558330,https://i.ebayimg.com/images/g/uVkAAeSwBgRoL8gl/s-l500.webp
1,Samsung Galaxy S23 (5G) SM-S911U 128GB GSM/CDMA FACTORY UNLOCKED Good,$219.88,"Sold  Oct 28, 2025",https://www.ebay.com/itm/297432023647,https://i.ebayimg.com/images/g/30MAAOSwUP9oWbQK/s-l500.webp
1,Samsung Galaxy S23+ Plus 256GB Unlocked ATT T-Mobile Verizon Good Condition,$260.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/306266020770,https://i.ebayimg.com/images/g/8aYAAOSwLZRoCT4c/s-l500.webp
1,Samsung Galaxy S23 Ultra 512GB S918U Unlocked - Good,$419.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/256413667885,https://i.ebayimg.com/images/g/~wAAAeSwVshoPGVL/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB Unlocked ATT T-Mobile Verizon Very Good Condition,$409.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/306207382094,https://i.ebayimg.com/images/g/hOIAAOSwRKpn6rzq/s-l500.webp
1,Samsung Galaxy S23+ Plus 256GB Unlocked ATT T-Mobile Verizon Very Good Condition,$284.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/306212965101,https://i.ebayimg.com/images/g/u7cAAOSwYlhn6-h7/s-l500.webp
1,Samsung Galaxy S23 Plus SM-S916U 256GB Unlocked Very Good Condition,$305.18,"Sold  Oct 28, 2025",https://www.ebay.com/itm/357290692843,https://i.ebayimg.com/images/g/vckAAeSwRbtowxRL/s-l500.webp
1,Samsung Galaxy S23 Ultra S918 256GB Unlocked - Excellent,$501.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/405565748801,https://i.ebayimg.com/images/g/lhAAAOSw5mFnt0fL/s-l500.webp
1,Samsung Galaxy S23 SM-S911U 128GB Unlocked Excellent Condition,$263.30,"Sold  Oct 28, 2025",https://www.ebay.com/itm/357295111467,https://i.ebayimg.com/images/g/D48AAeSwp3lowxpk/s-l500.webp
1,Samsung Galaxy S23 128GB FACTORY UNLOCKED Verizon ATT TMobile Metro - EXCELLENT,$239.48,"Sold  Oct 28, 2025",https://www.ebay.com/itm/126995399789,https://i.ebayimg.com/images/g/7LUAAOSwNZRn1dRa/s-l500.webp
1,REFURBISHED Samsung Galaxy S23+ PLUS SM-S916U1  512GB 5G Black FACTORY UNLOCKED,$319.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/145852334334,https://i.ebayimg.com/images/g/d10AAOSwipJmTVi4/s-l500.webp
1,Samsung Galaxy S23 Ultra 256GB Phantom Black Unlocked Good Condition,$419.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/276019792067,https://i.ebayimg.com/images/g/AxgAAOSwoPdk7RGP/s-l500.webp
1,Samsung Galaxy S23 256GB FACTORY UNLOCKED Verizon ATT TMobile Metro - EXCELLENT,$308.48,"Sold  Oct 28, 2025",https://www.ebay.com/itm/136325419316,https://i.ebayimg.com/images/g/7LUAAOSwNZRn1dRa/s-l500.webp
1,Samsung Galaxy S23 FE SM-S711U1 Unlocked 256GB Graphite Good,$211.69,"Sold  Oct 28, 2025",https://www.ebay.com/itm/197694944714,https://i.ebayimg.com/images/g/8jEAAeSwDwVoxbK5/s-l500.webp
1,Samsung Galaxy S23 FE 128GB S711U1 5G Factory Unlocked - Good,$189.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/285806237658,https://i.ebayimg.com/images/g/Hy8AAOSwcaNlur1A/s-l500.webp
1,Samsung Galaxy S23 FE 128GB Graphite Unlocked Very Good Condition,$199.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/286202205592,https://i.ebayimg.com/images/g/IAYAAOSwIElmtkKR/s-l500.webp
1,Samsung Galaxy S23 S911 5G Factory Unlocked - Very Good,$219.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/275946955493,https://i.ebayimg.com/images/g/yzwAAOSwt1JkryFX/s-l500.webp
1,Samsung Galaxy S23 SM-S911U1 256GB 5G Black FACTORY UNLOCKED,$299.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/126963833938,https://i.ebayimg.com/images/g/tRAAAOSwZP5mT34T/s-l500.webp
1,Samsung Galaxy S23+ PLUS SM-S916U1 5G Black Cream Green UNLOCKED 5G,$299.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/116041499122,https://i.ebayimg.com/images/g/JjwAAOSwosJlpwOo/s-l500.webp
1,Samsung Galaxy S23+ PLUS SM-S916U1 256GB 5G Lavender (Unlocked) #L413,$259.00,"Sold  Oct 28, 2025",https://www.ebay.com/itm/127400305841,https://i.ebayimg.com/images/g/SlsAAeSwZBJo2WfU/s-l500.webp
