Page,Title,Price,Sold Date,Link,Image Link
1,Samsung Galaxy S24 Ultra 512GB S928U Unlocked - Excellent,$653.99,"Sold  Oct 21, 2025",https://www.ebay.com/itm/256754180033,https://i.ebayimg.com/images/g/DksAAeSwmIdoL3Jv/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB Unlocked ATT T-Mobile Verizon Excellent Condition,$690.95,"Sold  Oct 20, 2025",https://www.ebay.com/itm/297168064156,https://i.ebayimg.com/images/g/HuoAAOSwqUln6vxw/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB SM-S928U1 Gray FACTORY Unlocked #L125,$559.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/146827043224,https://i.ebayimg.com/images/g/UJ0AAeSw3R1ow3gd/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U 256GB Unlocked Very Good Condition,$617.47,"Sold  Oct 21, 2025",https://www.ebay.com/itm/357600637044,https://i.ebayimg.com/images/g/3a8AAeSw9TJowxa3/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB Unlocked ATT T-Mobile Verizon Very Good Condition,$629.95,"Sold  Oct 20, 2025",https://www.ebay.com/itm/297168062336,https://i.ebayimg.com/images/g/pJcAAOSwVDZn6vv1/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB S928U Unlocked - Excellent,$629.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/256601270287,https://i.ebayimg.com/images/g/O1kAAeSwU65oL3FA/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB Unlocked ATT T-Mobile Verizon Excellent Condition,$615.95,"Sold  Oct 20, 2025",https://www.ebay.com/itm/297168063417,https://i.ebayimg.com/images/g/o5MAAOSwDZln6vxP/s-l500.webp
1,REFURBISHED Samsung Galaxy S24 Ultra 256GB SM-S928U1 Black FACTORY UNLOCKED,$599.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/116711415671,https://i.ebayimg.com/images/g/IPAAAeSww1VoiVmF/s-l500.webp
1,Samsung Galaxy S24 Ultra S928U1 256GB Fully Unlocked - Excellent,$657.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/226124882725,https://i.ebayimg.com/images/g/9JgAAOSwOJtmLm0J/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U Unlocked 256GB Titanium Violet Good,$562.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/196534790805,https://i.ebayimg.com/images/g/GS4AAOSwwz1mqxDF/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U - 256GB Titanium Violet (Unlocked) - Very Good,$619.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/306515157262,https://i.ebayimg.com/images/g/KkAAAOSwtKdmtfJ~/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB SM-S928U1 ORANGE FACTORY Unlocked #L492,$649.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/116826267055,https://i.ebayimg.com/images/g/VfMAAeSwdTVo7Vaw/s-l500.webp
1,Samsung Galaxy S24 Ultra 5G 512GB SM-S928U1 Black (Unlocked) #L485,$629.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/127429859263,https://i.ebayimg.com/images/g/-Y8AAeSwBcNo7VVt/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB SM-S928U1 Violet Purple Unlocked #L473,$589.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/127429938509,https://i.ebayimg.com/images/g/ndkAAeSwAupo7Wuh/s-l500.webp
1,Samsung Galaxy S24 Ultra 5G SM-S928U 256GB 512GB ALL Colors EXCELLENT Condition,$615.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/167763842313,https://i.ebayimg.com/images/g/MxoAAOSwANFnT6RA/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U1 256GB 512GB 1TB UNLOCKED 5G,$669.00,"Sold  Oct 20, 2025",https://www.ebay.com/itm/116517163720,https://i.ebayimg.com/images/g/GmwAAOSwFv5mVmTJ/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U - 256GB  Titanium Black (Unlocked) - Very Good,$619.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/306553017533,https://i.ebayimg.com/images/g/Pk4AAOSwgGFm~Qd0/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U - 256GB - Black (Unlocked) - Good Condition,$599.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/306506809061,https://i.ebayimg.com/images/g/Pk4AAOSwgGFm~Qd0/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U - 256GB Titanium Violet (Unlocked) - Good Cond,$609.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/306553026977,https://i.ebayimg.com/images/g/rr8AAOSw1JxoWRBg/s-l500.webp
1,Samsung Galaxy S24 Ultra  256/512GB - Unlocked -Refurbished Excellent,$639.99,"Sold  Oct 20, 2025",https://www.ebay.com/itm/326722081966,https://i.ebayimg.com/images/g/vdMAAOSwiKRnz1R1/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB SM-S928U1 Violet Purple Unlocked #L552,$589.00,"Sold  Oct 19, 2025",https://www.ebay.com/itm/127429729676,https://i.ebayimg.com/images/g/oCoAAeSwgSto7TJY/s-l500.webp
1,Samsung Galaxy S24 Ultra - 256GB 512GB 1TB - All Colors - Very Good Condition,$594.00,"Sold  Oct 19, 2025",https://www.ebay.com/itm/285846979444,https://i.ebayimg.com/images/g/6vcAAOSw9ilmOQal/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U 512GB Unlocked 1-Year Warranty Phone Very Good,$663.95,"Sold  Oct 19, 2025",https://www.ebay.com/itm/356691361338,https://i.ebayimg.com/images/g/caIAAOSw9IxnWdas/s-l500.webp
1,Samsung Galaxy S24 Ultra - 256GB 512GB 1TB - All Colors - Excellent Condition,$625.00,"Sold  Oct 19, 2025",https://www.ebay.com/itm/285846978211,https://i.ebayimg.com/images/g/6vcAAOSw9ilmOQal/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U - 512GB Titanium Black (Unlocked) - Good Cond.,$639.99,"Sold  Oct 18, 2025",https://www.ebay.com/itm/306540724538,https://i.ebayimg.com/images/g/LagAAeSw02Fo3i8q/s-l500.webp
1,Samsung Galaxy S24 256GB Ultra S928U 5G Factory Unlocked - Very Good,$629.99,"Sold  Oct 18, 2025",https://www.ebay.com/itm/276605073710,https://i.ebayimg.com/images/g/umcAAOSwIhVmxjYI/s-l500.webp
1,"Samsung Galaxy S24 Ultra S928U 256GB Unlocked 6.8"" 200MP 5G S Pen Titanium Black",$739.99,"Sold  Apr 19, 2025",https://www.ebay.com/itm/205432562117,https://i.ebayimg.com/images/g/kzIAAOSwIVdmIAQp/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U - 256GB Titanium Violet (Unlocked) - Good Cond,$589.99,"Sold  Oct 18, 2025",https://www.ebay.com/itm/306505414394,https://i.ebayimg.com/images/g/rr8AAOSw1JxoWRBg/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB Unlocked ATT T-Mobile Verizon Very Good Condition,$587.95,"Sold  Oct 18, 2025",https://www.ebay.com/itm/297168062035,https://i.ebayimg.com/images/g/9c8AAOSwF0Jn6vq3/s-l500.webp
1,Samsung Galaxy S24 Ultra 5G 512GB SM-S928U1 YELLOW  Factory Unlocked #L584,$624.00,"Sold  Oct 17, 2025",https://www.ebay.com/itm/116826094713,https://i.ebayimg.com/images/g/TQsAAeSwBDxo7S26/s-l500.webp
1,Samsung Galaxy S24 Ultra SM-S928U 512GB Unlocked Excellent Condition,$767.13,"Sold  Oct 18, 2025",https://www.ebay.com/itm/357295216078,https://i.ebayimg.com/images/g/0-MAAeSw9jZowxNW/s-l500.webp
1,Samsung Galaxy S24 Ultra 256GB S928U Unlocked - Very Good,$559.99,"Sold  Oct 18, 2025",https://www.ebay.com/itm/256652847211,https://i.ebayimg.com/images/g/rWcAAeSwvc9oL3F1/s-l500.webp
1,Samsung Galaxy S24 Ultra - 256GB - Titanium Gray (Unlocked) (Dual SIM) B-Stock,$574.98,"Sold  Oct 17, 2025",https://www.ebay.com/itm/157398480747,https://i.ebayimg.com/images/g/jbUAAeSwr~to8p~f/s-l500.webp
1,Samsung Galaxy S24 Ultra - 256GB - Titanium Violet (Carrier Unlocked)) B-Stock,$574.98,"Sold  Oct 17, 2025",https://www.ebay.com/itm/156883646762,https://i.ebayimg.com/images/g/qsgAAOSwDTlmRmfR/s-l500.webp
1,Samsung Galaxy S24 Ultra 512GB S928U Unlocked - Very Good,$629.99,"Sold  Oct 17, 2025",https://www.ebay.com/itm/256652847224,https://i.ebayimg.com/images/g/JXIAAeSwam1oL3KT/s-l500.webp
