Page,Title,Price,Sold Date,Link,Image Link
1,Samsung Galaxy S22 Plus S906 128GB Unlocked - Very Good,$178.95,"Sold  Oct 29, 2025",https://www.ebay.com/itm/365357929085,https://i.ebayimg.com/images/g/mZcAAOSwUh1n4XZb/s-l500.webp
1,Samsung Galaxy S22 Plus S906 128GB Unlocked - Excellent,$192.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/364894602299,https://i.ebayimg.com/images/g/8sMAAOSw3Thn4Xa5/s-l500.webp
1,Samsung Galaxy S22 Plus S906 256GB Unlocked - Excellent,$215.95,"Sold  Oct 28, 2025",https://www.ebay.com/itm/405287989392,https://i.ebayimg.com/images/g/~7sAAOSwRvBjTwKZ/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 128GB Pink Gold Unlocked Good Condition,$159.99,"Sold  Oct 28, 2025",https://www.ebay.com/itm/297574788581,https://i.ebayimg.com/images/g/kRkAAeSwrApo1YjR/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 256GB Black (Unlocked) - Very Good Condition,$271.59,"Sold  Apr 29, 2025",https://www.ebay.com/itm/306205427764,https://i.ebayimg.com/images/g/OyYAAOSw6OlmKNRy/s-l500.webp
1,Samsung Galaxy S22 Plus S906 256GB Unlocked - Very Good,$206.95,"Sold  Oct 25, 2025",https://www.ebay.com/itm/406090786662,https://i.ebayimg.com/images/g/~7sAAOSwRvBjTwKZ/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Phantom Black (Unlocked) - Good Cond.,$188.92,"Sold  Oct 17, 2025",https://www.ebay.com/itm/306483376194,https://i.ebayimg.com/images/g/XNcAAeSwNiZotWjS/s-l500.webp
1,Samsung Galaxy S22 Plus - 128GB 256GB - All Colors - Good Condition,$159.00,"Sold  Oct 7, 2025",https://www.ebay.com/itm/285843081958,https://i.ebayimg.com/images/g/PeIAAOSwVSZmNUm1/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 128GB Phantom White Unlocked Good Condition,$179.99,"Sold  Oct 7, 2025",https://www.ebay.com/itm/286848076415,https://i.ebayimg.com/images/g/1-kAAeSwI11o2rZ8/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 256GB Green Unlocked Very Good Condition,$249.99,"Sold  Sep 27, 2025",https://www.ebay.com/itm/297312573838,https://i.ebayimg.com/images/g/1WkAAeSwCupo2qHS/s-l500.webp
1,Samsung Galaxy S22+Plus - 128GB - Green - Fully Unlocked 5G (Good),$169.99,"Sold  Sep 26, 2025",https://www.ebay.com/itm/267374395646,https://i.ebayimg.com/images/g/VNIAAOSwSItoOOK7/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Black (Unlocked) - Very Good Cond.,$199.99,"Sold  Sep 24, 2025",https://www.ebay.com/itm/306515122693,https://i.ebayimg.com/images/g/-C0AAeSwbtFoyuC-/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 256GB Phantom Black Unlocked Good Condition,$219.99,"Sold  Sep 22, 2025",https://www.ebay.com/itm/297395914757,https://i.ebayimg.com/images/g/lrwAAeSwSoVo2qIm/s-l500.webp
1,Samsung Galaxy S22 Plus 5G Black 256GB Unlocked - Very Good w/ Discoloration,$149.99,"Sold  Sep 16, 2025",https://www.ebay.com/itm/277315097924,https://i.ebayimg.com/images/g/AE4AAeSw6M1olh3z/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 256GB Phantom White Unlocked Good Condition,$219.99,"Sold  Sep 14, 2025",https://www.ebay.com/itm/286767271203,https://i.ebayimg.com/images/g/6Q0AAeSwgSZo2qGh/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Phantom Black (Unlocked) - Good Cond.,$219.99,"Sold  Sep 11, 2025",https://www.ebay.com/itm/306493880716,https://i.ebayimg.com/images/g/rhwAAeSw3N9ovVwj/s-l500.webp
1,Samsung Galaxy S22 Plus Sm-s906 5G Fully Unlocked 128GB - Very Good,$202.00,"Sold  Sep 8, 2025",https://www.ebay.com/itm/167623615328,https://i.ebayimg.com/images/g/hKAAAeSw0v1om~FV/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U - 128GB - Green (Unlocked) - Very Good Cond.,$188.10,"Sold  Sep 3, 2025",https://www.ebay.com/itm/306369747524,https://i.ebayimg.com/images/g/IuUAAOSwk1Znf5Cc/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 256GB Green Unlocked Good Condition,$219.99,"Sold  Aug 30, 2025",https://www.ebay.com/itm/286628114011,https://i.ebayimg.com/images/g/4fQAAeSwwcVo2qKL/s-l500.webp
1,Samsung Galaxy S22 Plus S906 128GB UNLOCKED - Good Black,$174.99,"Sold  Aug 28, 2025",https://www.ebay.com/itm/116750184105,https://i.ebayimg.com/images/g/pnkAAeSwWhlorJZd/s-l500.webp
1,Samsung Galaxy S22 Plus S906U 5G Factory Unlocked - Very Good,$179.99,"Sold  Aug 26, 2025",https://www.ebay.com/itm/285807829310,https://i.ebayimg.com/images/g/Oi8AAOSwIWFihsKc/s-l500.webp
1,Samsung Galaxy S22+Plus - 128GB - Green - Fully Unlocked 5G (Good),$169.99,"Sold  Aug 8, 2025",https://www.ebay.com/itm/267349317171,https://i.ebayimg.com/images/g/VNIAAOSwSItoOOK7/s-l500.webp
1,Samsung Galaxy S22 Plus SM-S906U 128GB 8GB Unlocked Green Good Condition,$219.00,"Sold  Aug 19, 2025",https://www.ebay.com/itm/406142670165,https://i.ebayimg.com/images/g/XOwAAeSwTWhokdCI/s-l500.webp
1,Samsung Galaxy S22 Plus - 128 GB - Phantom Black  - Unlocked - Good Refurbished-,$178.00,"Sold  Aug 18, 2025",https://www.ebay.com/itm/127274500328,https://i.ebayimg.com/images/g/JAwAAeSwmzpoiS8D/s-l500.webp
1,Samsung Galaxy S22 Plus 5G Unlocked 128GB SM-S9060 Green Good,$188.99,"Sold  Aug 11, 2025",https://www.ebay.com/itm/146719890716,https://i.ebayimg.com/images/g/RnAAAeSwz1tofOaC/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 128GB Pink Gold Unlocked Very Good Condition,$189.99,"Sold  Aug 10, 2025",https://www.ebay.com/itm/297527016082,https://i.ebayimg.com/images/g/TeYAAeSwZxJo3ChL/s-l500.webp
1,Samsung Galaxy S22 Plus 5G Unlocked 128GB SM-S906W Phantom Black Good,$179.99,"Sold  Aug 9, 2025",https://www.ebay.com/itm/146725413157,https://i.ebayimg.com/images/g/21gAAeSwYcFogHyz/s-l500.webp
1,Samsung Galaxy S22 Plus - 128GB 256GB - All Colors - Excellent Condition,$209.00,"Sold  Aug 2, 2025",https://www.ebay.com/itm/276450687773,https://i.ebayimg.com/images/g/PeIAAOSwVSZmNUm1/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 128GB Phantom White Unlocked Very Good Condition,$189.99,"Sold  Aug 1, 2025",https://www.ebay.com/itm/286736988476,https://i.ebayimg.com/images/g/HwAAAeSwV8Jo3Cj3/s-l500.webp
1,Samsung Galaxy S22 Plus 5G 128GB Green Unlocked - Excellent Condition,$219.99,"Sold  Aug 1, 2025",https://www.ebay.com/itm/277178161762,https://i.ebayimg.com/images/g/WA8AAOSw~itmdeLo/s-l500.webp
